area_id,avg_sale_price,avg_sale_value,transaction_count,parking_score,metro_score,mall_score
229.0,1326.3243012704174,2029899.899103139,551,0.0,0.0,0.0
230.0,5143.045254582485,1593336.6523560209,1473,0.0,0.9355057705363204,0.0
231.0,9686.377121418825,11889334.822894169,733,0.0,0.9618008185538881,0.15688949522510232
232.0,7309.10610329582,2817807.366696061,9952,0.23512861736334406,0.9718649517684887,0.9718649517684887
233.0,9927.209537755823,2645607.486124876,2834,0.0,0.9823570924488356,0.5247000705716302
234.0,7744.678113522538,6808328.536585365,599,0.0,0.8146911519198664,0.7161936560934892
235.0,30255.37809055118,5937076.446351931,508,0.0,0.9488188976377953,0.9488188976377953
236.0,6315.998571428572,1829411.9047619049,35,0.0,0.0,0.0
237.0,59948.42462962963,16704426.733333332,108,0.0,0.9351851851851852,0.9351851851851852
238.0,35696.91815580286,5933347.877675841,629,0.0,0.9205087440381559,0.9205087440381559
239.0,18048.030579514823,5443278.320359281,742,0.0,0.9407008086253369,0.738544474393531
240.0,16846.226943078003,6889781.430136986,1423,0.6219255094869993,0.9711876317638791,0.9711876317638791
241.0,3325.2251315789476,3870606.7083333335,76,0.0,0.0,0.0
242.0,53096.63440860215,7278755.355769231,465,0.0,0.9612903225806452,0.9612903225806452
243.0,5257.158965517241,1124583.3333333333,29,0.0,0.0,0.0
244.0,21805.007472055033,17163606.701149426,1163,0.0,0.9570077386070507,0.9570077386070507
245.0,15578.389152542371,3505152.512195122,59,0.0,0.0,0.0
246.0,11223.804827586207,2652704.5454545454,29,0.0,0.0,0.0
247.0,8806.792591836735,9536278.74566474,490,0.0,0.9061224489795918,0.9061224489795918
248.0,4936.2305,26391287.695652176,180,0.0,0.9888888888888889,0.9888888888888889
249.0,10751.648438893844,4574787.477537437,1121,0.0,0.9634255129348795,0.9571810883140054
250.0,35184.9575,1368153.857142857,12,0.0,0.0,0.0
251.0,19843.31142857143,7700000.0,7,0.0,0.0,0.0
252.0,13212.630384615386,7875685.0,26,0.0,0.0,0.0
253.0,98708.88666666666,21720833.875,12,0.0,0.0,0.0
254.0,65206.17465045593,13441685.915384615,329,0.0,0.9452887537993921,0.9452887537993921
255.0,20029.181431334626,8833223.89180328,517,0.6518375241779497,0.9187620889748549,0.9187620889748549
256.0,1109.845882352941,1293752.9487179487,51,0.0,0.0,0.0
257.0,231.91267605633803,2485035.5161290322,142,0.0,0.0,0.0
258.0,507.2388235294117,929487.625,17,0.0,0.0,0.0
259.0,8984.55,1750000.0,2,0.0,0.0,0.0
262.0,10400.207142857142,1909875.0,7,0.0,0.0,0.0
263.0,6458.35,21600000.0,1,0.0,0.0,0.0
264.0,2525.0311611972593,5546700.619243421,2773,0.05048683736025965,0.9693472773169852,0.9693472773169852
265.0,262.88,365625.0,8,0.0,0.0,0.0
266.0,16389.28717609489,3891244.288209607,4384,0.4979470802919708,0.8517335766423357,0.8517335766423357
267.0,18039.81580348944,12243950.902050113,1089,0.0,0.9449035812672176,0.9449035812672176
268.0,5740.695111111111,2683176.2,45,0.0,0.0,0.0
269.0,17189.292375979112,11518845.50617284,766,0.0,0.9530026109660574,0.9530026109660574
270.0,1445.671219512195,1286315.9,41,0.0,0.0,0.0
271.0,19557.963553791884,10649280.378600823,1134,0.0,0.9691358024691358,0.9691358024691358
272.0,11610.43,1260000.0,5,0.0,0.0,0.0
273.0,2337.86,4810326.333333333,1,0.0,0.0,0.0
274.0,26911.81,4810326.333333333,1,0.0,0.0,0.0
275.0,21527.84,4810326.333333333,1,0.0,1.0,1.0
276.0,11594.309024911032,4392093.4587688735,1405,0.0,0.9750889679715302,0.9750889679715302
277.0,795.4092307692307,1773006.5555555555,52,0.0,0.0,0.0
278.0,18247.796343984963,22980673.61403509,1064,0.0,0.9454887218045113,0.9454887218045113
279.0,11051.543055555556,16058761.5,36,0.0,0.0,0.0
280.0,10926.12962962963,22746696.666666668,27,0.0,0.0,0.0
281.0,12715.667647058825,4186153.846153846,17,0.0,0.0,0.0
282.0,35399.09784946236,42024232.52272727,93,0.0,0.0,0.0
283.0,9311.42,2000000.0,1,0.0,0.0,0.0
284.0,9522.774728379738,1475023.7328697555,16917,0.027368918839037654,0.9207897381332387,0.9199030560974168
285.0,7331.098983445739,2141925.602958937,8155,0.8386266094420601,0.003801348865726548,0.004414469650521152
288.0,33.303333333333335,4810326.333333333,3,0.0,0.0,0.0
292.0,840.2846341463414,1659701.9363636363,123,0.0,0.0,0.0
294.0,105.46,4683899.867924528,64,0.0,0.0,0.0
295.0,131.02234042553192,3606008.411764706,47,0.0,0.0,0.0
296.0,2723.5998007590133,3183118.354083665,2108,0.0,0.0,0.0
297.0,10518.354220072551,11822111.825,827,0.0,0.9431680773881499,0.9431680773881499
298.0,1135.4602145763965,2413903.153153153,2703,0.0,0.8131705512393637,0.8131705512393637
299.0,1033.4541244119184,6515899.595744681,1913,0.0,0.7543125980135912,0.7543125980135912
300.0,2910.7985388888887,1565064.7675,1800,0.0,0.9794444444444445,0.9794444444444445
301.0,15995.711065032989,25189418.422163587,1061,0.0,0.9764373232799246,0.9764373232799246
302.0,103.7662962962963,2884554.722222222,27,0.0,0.0,0.0
303.0,9121.11913153457,26080958.956356738,1186,0.0,0.9291736930860034,0.9291736930860034
304.0,6200.414545454545,8800742.6671875,1309,0.0,0.9663865546218487,0.9663865546218487
305.0,11735.13767955801,22808027.335820895,543,0.0,0.9558011049723757,0.9558011049723757
306.0,1871.2104946996465,1307867.884375,566,0.0,0.9346289752650176,0.9346289752650176
307.0,20848.131277139208,5388478.030552291,2349,0.8250319284802043,0.998297147722435,0.998297147722435
308.0,7968.642452830189,26610478.29032258,106,0.0,1.0,1.0
309.0,6991.28256,31786954.95,125,0.0,1.0,1.0
310.0,1970.1133632286997,2702755.225490196,223,0.0,0.9103139013452914,0.9103139013452914
311.0,1301.7869654427645,2236223.256038647,926,0.0,0.9859611231101512,0.9859611231101512
312.0,6960.17904040404,2309479.8444830584,1980,0.5207070707070707,0.9813131313131314,0.9813131313131314
313.0,4271.077,9955561.369863013,240,0.0,0.9708333333333333,0.9708333333333333
314.0,4443.58655319149,8395621.178181818,705,0.0,0.9829787234042553,0.9829787234042553
315.0,4917.171658767772,8933059.17832957,1055,0.0,0.9563981042654028,0.9563981042654028
316.0,1389.86376344086,3600818.5249221185,2325,0.0,0.9410752688172043,0.9410752688172043
317.0,19285.56417644966,7042440.446242775,5622,0.5565635005336179,0.9222696549270722,0.9222696549270722
318.0,5686.818316498317,7108530.594104309,1188,0.0,0.9831649831649831,0.9831649831649831
319.0,4958.978177339901,8478548.412280701,203,0.0,0.8472906403940886,0.8472906403940886
320.0,7732.204000000001,58906118.526315786,70,0.0,0.9714285714285714,0.9714285714285714
321.0,12121.646304347825,19848066.227272727,46,0.0,0.9782608695652174,0.9782608695652174
322.0,15448.44188854489,6411468.634831461,323,0.6037151702786377,0.9628482972136223,0.9628482972136223
323.0,16392.61358056266,10133289.364197532,391,0.5370843989769821,0.9820971867007673,0.9820971867007673
325.0,21158.73376344086,24128535.85714286,93,0.0,0.956989247311828,0.956989247311828
326.0,21189.537146341463,12835046.619607843,410,0.6707317073170732,0.9878048780487805,0.9878048780487805
327.0,1382.4836170212766,2314047.052631579,141,0.0,0.9219858156028369,0.9219858156028369
328.0,4439.496745886655,2986431.3382899626,547,0.0,0.9689213893967094,0.9689213893967094
329.0,38942.784383810824,9781252.037477693,2199,0.9486130059117781,0.6607548885857207,0.6607548885857207
330.0,19224.21613752663,2666576.1629184694,136599,0.967730364058302,0.8972027613672136,0.8972027613672136
331.0,32743.282397345498,4606174.077294686,2411,0.997096640398175,0.8245541269182912,0.8245541269182912
332.0,40588.45818235995,3959062.3584237327,5034,0.9944378228049265,0.8972983710766785,0.8972983710766785
333.0,27886.861861731846,3474107.733143061,14320,0.9863128491620111,0.3615223463687151,0.3615223463687151
334.0,17975.685353934845,3755442.4692001985,14918,0.8683469633999196,0.9049470438396567,0.9049470438396567
335.0,15936.273004070783,5290703.262514996,12037,0.4740383816565589,0.8020270831602558,0.8020270831602558
336.0,1675.3291637630664,12958319.608695652,287,0.0,0.39372822299651566,0.39372822299651566
337.0,5596.53438984439,3589503.395231214,3663,0.0,0.9418509418509419,0.9418509418509419
338.0,2672.388650190114,5374823.424164524,1052,0.0,0.8498098859315589,0.8498098859315589
339.0,29892.849245994345,7662445.268199233,1061,0.0,0.9868049010367578,0.9868049010367578
340.0,10781.959574920298,16277001.598101266,1882,0.0,0.4128586609989373,0.4128586609989373
341.0,72010.05446180556,19284317.098064516,1152,0.7560763888888888,1.0,1.0
