area_id,area_name_en,hotspot_score,predicted_probability,predicted_hotspot,cluster,final_rank
504,Madinat Hind 3,1.773082861073275,0.027347773244597456,0,0,152
497,Lehbab Second,1.6692270138089933,0.0026442240190288997,0,0,153
404,Mushrif,1.369283272749731,0.036065180572515565,0,0,154
294,Lehbab,1.0828351199648594,0.0026442240190288997,0,0,155
399,Al Aweer Second,0.9524426728547338,0.0026442240190288997,0,0,156
288,Al Marmoom,0.9509710617942934,0.0026442240190288997,0,0,157
489,Lehbab First,0.7195962108519871,0.0026442240190288997,0,0,158
525,Hatta,0.696692911955849,0.0026442240190288997,0,0,159
499,Al Maha,0.6537363415180171,0.0026442240190288997,0,0,160
391,Al Lusaily,0.618678854196776,0.0026442240190288997,0,0,161
400,Al Eyas,0.5603742947165593,0.0026442240190288997,0,0,162
470,Al Faga'A,0.36208179762177883,0.019302377867500733,0,0,163
515,Saih Aldahal,0.17747332813801056,0.0026442240190288997,0,0,164
518,Mugatrah,0.17291022257907715,0.0026442240190288997,0,0,165
