area_id,avg_sale_price,avg_sale_value,transaction_count,parking_score,metro_score,mall_score,avg_rent,contract_count,rental_yield,avg_sale_price_norm,transaction_count_norm,parking_score_norm,rental_yield_norm,avg_rent_norm,contract_count_norm,metro_score_norm,mall_score_norm,hotspot_score_raw,hotspot_score,rank
230.0,5143.045254582485,1593336.6523560209,1473,0.0,0.9355057705363204,0.0,25100.18510046915,11297,0.015753221432114946,0.05153593678446684,0.010776146063631972,0.0,0.10713936975002754,0.0031768906968791238,0.09007615326342651,0.9355057705363204,0.0,0.13603489583870182,21.653838321040055,129
231.0,9686.377121418824,11889334.822894167,733,0.0,0.961800818553888,0.1568894952251023,75793.5721909734,5938,0.006374921164220633,0.09735916376711083,0.0053587900262082894,0.0,0.04330416637534567,0.009859302021511656,0.04734260994378215,0.961800818553888,0.1568894952251023,0.15000302119789127,23.895051925495835,128
232.0,7309.10610329582,2817807.366696061,9952,0.235128617363344,0.9718649517684887,0.9718649517684887,199651.9618891688,397,0.0708536588586128,0.07338243641028541,0.07284879720054467,0.23529843202663905,0.48219108793778026,0.02618633703482225,0.003157768828994059,0.9718649517684887,0.9718649517684887,0.33993775960429173,54.37045995117784,45
233.0,9927.209537755823,2645607.486124876,2834,0.0,0.9823570924488356,0.5247000705716302,22897.68791705164,48705,0.008654983037786446,0.09978815614584136,0.020739688721650388,0.0,0.0588238457680179,0.002886557125467453,0.38837366931143097,0.9823570924488356,0.5247000705716302,0.2420751400127807,38.66820723249929,104
234.0,7744.678113522538,6808328.536585365,599,0.0,0.8146911519198664,0.7161936560934892,71716.0203951536,19891,0.01053357222845211,0.07777553726157843,0.004377809338350488,0.0,0.07161082417754445,0.009321798416780814,0.15860611618356527,0.8146911519198664,0.7161936560934892,0.21680415950645654,34.613427950936696,117
235.0,30255.37809055118,5937076.446351931,508,0.0,0.9488188976377953,0.9488188976377953,69894.82842036797,10762,0.011772600378645153,0.3048144031905726,0.0037116209607754138,0.0,0.08004450743519169,0.009081728565955694,0.08580997567880069,0.9488188976377953,0.9488188976377953,0.28596076959741823,45.70974412710404,70
237.0,59948.42462962963,16704426.733333332,108,0.0,0.9351851851851852,0.9351851851851852,88375.57874232745,7983,0.005290548436838951,0.6042931230477362,0.0007833204000058566,0.0,0.035923174979352525,0.011517864368416234,0.06364977472987521,0.9351851851851852,0.9351851851851852,0.318762602339925,50.972863687040125,53
238.0,35696.91815580286,5933347.877675841,629,0.0,0.920508744038156,0.920508744038156,85930.24218925954,16517,0.014482589586997113,0.35969679630063356,0.004597431880408205,0.0,0.09849056986833472,0.011195519668000276,0.13170128782743912,0.920508744038156,0.920508744038156,0.2965766086234729,47.413076695797926,63
239.0,18048.030579514823,5443278.320359281,742,0.0,0.9407008086253368,0.738544474393531,25303.209192815044,17815,0.004648523868084136,0.18169329466284653,0.0054246767888256045,0.0,0.03155311134870615,0.0032036533689302794,0.1420517523224752,0.9407008086253368,0.738544474393531,0.23994834624654254,38.32695892607364,107
240.0,16846.226943078003,6889781.430136986,1423,0.6219255094869993,0.9711876317638792,0.9711876317638792,101480.38169309006,85341,0.014729114808954452,0.16957211962322552,0.010410108493535776,0.6223746767222446,0.10016859117615201,0.013245341829902679,0.680515130975639,0.9711876317638792,0.9711876317638792,0.4036855212677513,64.59891559714299,28
